RUNNING 2021-08-13 16:28:57.104856
Line ['5626', '2020-10-16', '24:10:13', '65124', '1658', '847', '23', '2020-12-23', '14:32:18', '2020-11-24', '23:52:15'] has been removed.
Line ['75186', '2020-10-15', '24:49:20', '32857', '1154', '108', '1', '2020-12-23', '15:16:40', '2020-11-28', '18:20:13'] has been removed.
Line ['52599', '2020-12-28', '23:54:42', '4640', '4509', '861', '32', '2020-10-27', '24:35:59', '2020-11-17', '13:12:34'] has been removed.
Line ['22640', '2020-11-22', '15:33:43', '46486', '2515', '980', '34', '2020-12-14', '15:34:21', '2020-11-23', '24:42:19'] has been removed.
Line ['30360', '2020-12-20', '24:27:17', '65176', '7029', '936', '43', '2020-10-18', '22:14:31', '2020-10-25', '23:12:54'] has been removed.
Line ['48475', '2020-12-19', '13:48:48', '25888', '4124', '527', '28', '2020-10-19', '21:10:58', '2020-12-19', '24:20:44'] has been removed.
Line ['49916', '2020-12-24', '17:59:28', '89396', '6325', '467', '21', '2020-11-19', '24:42:19', '2020-11-22', '14:49:43'] has been removed.
Line ['75400', '2020-11-16', '16:41:41', '27527', '4669', '847', '18', '2020-11-12', '24:13:50', '2020-12-19', '24:50:20'] has been removed.
Line ['44675', '2020-12-11', '24:51:24', '75108', '2097', '574', '36', '2020-12-17', '18:47:28', '2020-10-14', '14:19:21'] has been removed.
Line ['15381', '2020-11-26', '23:11:33', '71930', '4639', '797', '16', '2020-10-13', '24:36:13', '2020-10-15', '13:25:33'] has been removed.
Line ['90147', '2020-12-24', '14:12:52', '61761', '4518', '896', '14', '2020-10-16', '24:12:36', '2020-11-24', '15:23:12'] has been removed.
Line ['68925', '2020-11-29', '15:37:32', '5992', '4616', '896', '16', '2020-11-13', '24:33:36', '2020-12-17', '21:57:47'] has been removed.
Line ['29568', '2020-11-20', '22:54:11', '38614', '8027', '521', '50', '2020-10-26', '24:20:21', '2020-10-15', '20:55:10'] has been removed.
Line ['31311', '2020-11-26', '21:29:52', '78452', '4811', '38', '48', '2020-10-10', '17:30:37', '2020-10-17', '24:17:31'] has been removed.
Line ['36367', '2020-11-14', '24:12:39', '32039', '1866', '881', '15', '2020-12-28', '23:39:17', '2020-12-30', '18:49:55'] has been removed.
Line ['39897', '2020-12-26', '19:23:59', '45826', '3139', '743', '15', '2020-12-15', '24:44:38', '2020-12-22', '20:35:52'] has been removed.
Line ['81839', '2020-10-12', '24:37:50', '51514', '6440', '74', '21', '2020-10-17', '23:26:57', '2020-10-13', '12:45:54'] has been removed.
Line ['46023', '2020-11-25', '22:14:57', '41105', '3023', '163', '36', '2020-11-28', '18:13:13', '2020-11-10', '24:56:16'] has been removed.
Line ['28148', '2020-10-11', '12:25:29', '42640', '9281', '175', '5', '2020-12-11', '23:53:41', '2020-10-20', '24:15:15'] has been removed.
Line ['90089', '2020-10-13', '24:57:55', '15321', '4378', '439', '9', '2020-10-13', '17:44:17', '2020-12-27', '14:36:31'] has been removed.
Line ['44655', '2020-11-24', '12:28:17', '25393', '8001', '704', '47', '2020-10-19', '24:38:48', '2020-11-27', '17:19:32'] has been removed.
Line ['83526', '2020-12-24', '24:27:27', '48211', '9030', '803', '12', '2020-10-11', '13:54:20', '2020-11-23', '15:24:37'] has been removed.
Line ['85380', '2020-11-25', '24:52:49', '47028', '4241', '445', '1', '2020-12-25', '20:59:22', '2020-11-12', '20:47:50'] has been removed.
Line ['81253', '2020-10-17', '12:31:30', '36408', '1652', '570', '48', '2020-11-22', '14:24:59', '2020-10-16', '24:12:23'] has been removed.
Line ['73332', '2020-10-28', '23:24:28', '18177', '2635', '504', '49', '2020-11-18', '24:30:10', '2020-12-25', '14:12:46'] has been removed.
Line ['52545', '2020-11-19', '15:26:14', '21297', '3782', '734', '43', '2020-11-25', '24:42:30', '2020-10-30', '20:48:22'] has been removed.
Line ['92828', '2020-10-22', '16:55:50', '60265', '9390', '452', '36', '2020-11-23', '21:23:53', '2020-12-23', '24:49:21'] has been removed.
Line ['28170', '2020-12-23', '24:51:48', '41279', '7846', '890', '30', '2020-12-24', '12:41:46', '2020-10-12', '13:24:43'] has been removed.
Line ['67302', '2020-10-10', '14:51:19', '24841', '9224', '697', '18', '2020-11-16', '24:55:33', '2020-11-19', '12:42:13'] has been removed.
Line ['82249', '2020-11-21', '24:53:52', '95848', '1989', '413', '26', '2020-11-30', '18:14:18', '2020-10-29', '20:35:17'] has been removed.
Line ['53837', '2020-12-11', '24:54:38', '74769', '8279', '814', '42', '2020-10-27', '23:37:41', '2020-10-22', '22:15:46'] has been removed.
Line ['68339', '2020-12-14', '24:48:11', '7979', '7107', '444', '4', '2020-11-18', '23:19:33', '2020-10-18', '12:57:24'] has been removed.
Line ['26498', '2020-10-28', '24:11:26', '82332', '2379', '504', '34', '2020-10-17', '12:53:48', '2020-12-21', '18:52:26'] has been removed.
Line ['89472', '2020-10-15', '19:19:53', '75387', '8500', '754', '30', '2020-10-26', '24:52:42', '2020-11-16', '21:19:12'] has been removed.
Line ['34194', '2020-10-10', '24:26:16', '12726', '8169', '126', '48', '2020-11-12', '23:47:39', '2020-11-25', '24:56:39'] has been removed.
